batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1848,CrackIVF,16,29552,16,5875,100,10,42,99999,8571.595759916818,1.4562070136889815,0.1302860036958009,1.3259210099931806,0.0,0.004175992216914892,0.0,0.0,0.0,0.0,0.12166201486252248,1,0.75,0.7375,0.646875,228977697
1849,CrackIVF,16,29568,16,5875,100,10,42,99999,8573.613529937575,2.0177700207568705,0.2538860135246068,1.7638840072322637,0.0,0.0040000013541430235,0.0,0.0,0.0,0.0,0.2457739901728928,1,1.0,0.78125,0.725,228977697
1850,CrackIVF,16,29584,16,5875,100,10,42,99999,8575.24640794145,1.6328780038747936,0.2604610053822398,1.3724169984925538,0.0,0.004224013537168503,0.0,0.0,0.0,0.0,0.2519490080885589,1,0.75,0.7125,0.6625,228977697
1851,CrackIVF,16,29600,16,5875,100,10,42,99999,8576.950916962232,1.7045090207830071,0.1422220084350556,1.5622870123479515,0.0,0.004559988155961037,0.0,0.0,0.0,0.0,0.13318200944922864,1,0.75,0.75,0.7175,228977697
1852,CrackIVF,16,29616,16,5875,100,10,42,99999,8578.768128965748,1.8172120035160333,0.5032909975852817,1.3139210059307516,0.0,0.003775989171117544,0.0,0.0,0.0,0.0,0.49537100130692124,1,0.75,0.725,0.6375,228977697
1853,CrackIVF,16,29632,16,5875,100,10,42,99999,8580.504877958447,1.736748992698267,0.15574198914691806,1.581007003551349,0.0,0.0047679932322353125,0.0,0.0,0.0,0.0,0.14595000538975,1,0.875,0.78125,0.66625,228977697
1854,CrackIVF,16,29648,16,5875,100,10,42,99999,8582.606629963266,2.101752004818991,0.5172579840291291,1.5844940207898617,0.0,0.004416011506691575,0.0,0.0,0.0,0.0,0.5083460127934813,1,0.6875,0.70625,0.643125,228977697
1855,CrackIVF,16,29664,16,5875,100,10,42,99999,8584.137684956659,1.5310549933928996,0.14403098612092435,1.3870240072719753,0.0,0.004559988155961037,0.0,0.0,0.0,0.0,0.1346549834124744,1,0.8125,0.71875,0.6725,228977697
1856,CrackIVF,16,29680,16,5875,100,10,42,99999,8585.466582968365,1.3288980117067695,0.13734301319345832,1.1915549985133111,0.0,0.004623987479135394,0.0,0.0,0.0,0.0,0.1286870101466775,1,0.5,0.625,0.54625,228977697
1857,CrackIVF,16,29696,16,5875,100,10,42,99999,8586.811639979715,1.3450570113491267,0.132350018247962,1.2127069931011647,0.0,0.0042079773265868425,0.0,0.0,0.0,0.0,0.12399800471030176,1,0.75,0.7125,0.603125,228977697
1858,CrackIVF,16,29712,16,5875,100,10,42,99999,8588.750913972035,1.9392739923205227,0.32202800503000617,1.6172459872905165,0.0,0.0039199949242174625,0.0,0.0,0.0,0.0,0.31455597491003573,1,0.6875,0.65625,0.5975,228977697
1859,CrackIVF,16,29728,16,5875,100,10,42,99999,8590.814282972133,2.0633690000977367,0.4361869941931218,1.627182005904615,0.0,0.0040800077840685844,0.0,0.0,0.0,0.0,0.4280269786249846,1,0.8125,0.8375,0.7975,228977697
1860,CrackIVF,16,29744,16,5875,100,10,42,99999,8592.54850394791,1.7342209757771343,0.24402898270636797,1.4901919930707663,0.0,0.003999972250312567,0.0,0.0,0.0,0.0,0.23601300199516118,1,0.75,0.68125,0.64125,228977697
1861,CrackIVF,16,29760,16,5875,100,10,42,99999,8594.313763955142,1.7652600072324276,0.24463701993227005,1.5206229873001575,0.0,0.0036800047382712364,0.0,0.0,0.0,0.0,0.2371329755987972,1,0.625,0.56875,0.599375,228977697
1862,CrackIVF,16,29776,16,5875,100,10,42,99999,8596.118191955611,1.8044280004687607,0.24606200167909265,1.558365998789668,0.0,0.004128000000491738,0.0,0.0,0.0,0.0,0.23746999795548618,1,0.8125,0.775,0.7475,228977697
1863,CrackIVF,16,29792,16,5875,100,10,42,99999,8597.608399955789,1.4902080001775175,0.23899000370875,1.2512179964687675,0.0,0.004016008460894227,0.0,0.0,0.0,0.0,0.23076598881743848,1,0.875,0.66875,0.628125,228977697
1864,CrackIVF,16,29808,16,5875,100,10,42,99999,8599.0596319607,1.4512320049107075,0.2807810087688267,1.1704509961418808,0.0,0.0033600081223994493,0.0,0.0,0.0,0.0,0.2750690036918968,1,0.6875,0.63125,0.5375,228977697
1865,CrackIVF,16,29824,16,5875,100,10,42,99999,8600.453583960189,1.393951999489218,0.2781249932013452,1.1158270062878728,0.0,0.0027520000003278255,0.0,0.0,0.0,0.0,0.2732450084295124,1,0.625,0.6375,0.566875,228977697
1866,CrackIVF,16,29840,16,5875,100,10,42,99999,8602.029422967462,1.5758390072733164,0.09027100168168545,1.485568005591631,0.0,0.002496002707630396,0.0,0.0,0.0,0.0,0.08663898915983737,1,0.8125,0.76875,0.7175,228977697
1867,CrackIVF,16,29856,16,5875,100,10,42,99999,8603.67367696017,1.6442539927084,0.18215799354948103,1.4620959991589189,0.0,0.005199981387704611,0.0,0.0,0.0,0.0,0.16857398441061378,1,0.75,0.64375,0.6025,228977697
1868,CrackIVF,16,29872,16,5875,100,10,42,99999,8606.215423962567,2.5417470023967326,0.3524600178934634,2.189286984503269,0.0,0.0046879868023097515,0.0,0.0,0.0,0.0,0.34106799284927547,1,0.75,0.6625,0.61625,228977697
1869,CrackIVF,16,29888,16,5875,100,10,42,99999,8608.3169359772,2.1015120146330446,0.21351699251681566,1.887995022116229,0.0,0.00822398578748107,0.0,0.0,0.0,0.0,0.19548501586541533,1,0.75,0.7625,0.675,228977697
1870,CrackIVF,16,29904,16,5875,100,10,42,99999,8610.172866960056,1.85593098285608,0.2866369904950261,1.5692939923610538,0.0,0.005184003384783864,0.0,0.0,0.0,0.0,0.27569298981688917,1,0.8125,0.6625,0.59625,228977697
1871,CrackIVF,16,29920,16,5875,100,10,42,99999,8612.382138962857,2.209272002801299,0.4245390009600669,1.7847330018412322,0.0,0.004639994585886598,0.0,0.0,0.0,0.0,0.41413999861106277,1,0.8125,0.725,0.656875,228977697
1872,CrackIVF,16,29936,16,5875,100,10,42,99999,8613.733371981652,1.3512330187950283,0.15025402535684407,1.2009789934381843,0.0,0.004992005415260792,0.0,0.0,0.0,0.0,0.14022199320606887,1,0.625,0.66875,0.638125,228977697
1873,CrackIVF,16,29952,16,5875,100,10,42,99999,8615.50205599633,1.7686840146780014,0.5138179985806346,1.2548660160973668,0.0,0.004943984095007181,0.0,0.0,0.0,0.0,0.5036579968873411,1,0.6875,0.73125,0.630625,228977697
